restaurant_id,restaurant_name,raw_menu_item_name,raw_price,raw_category,source_url,source_file,collected_at,notes,price_sgd,price_note,description,address,postal_code,latitude,longitude,restaurant_rating,rating_count,cuisine
T003,Udon Don Bar (Create Way),Spicy Tartar Chicken Nanban Don.,from S$ 11.30,Chicken Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,11.30,starting_price,Chicken with spicy nanban tartar on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Salted Egg Chicken Don.,from S$ 12,Chicken Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,12,starting_price,Salted egg chicken on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Chicken Katsu Don.,from S$ 11.30,Chicken Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,11.30,starting_price,Chicken katsu and egg on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Spicy Garlic Miso Chicken Don.,from S$ 10.80,Chicken Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,10.80,starting_price,Garlic miso chicken on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Chicken Oyako Don.,from S$ 10.10,Chicken Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,10.10,starting_price,Chicken karaage on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Teriyaki Chicken Don.,from S$ 10.80,Chicken Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,10.80,starting_price,Teriyaki chicken on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Mentai Katsu Don.,from S$ 12.50,Chicken Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,12.50,starting_price,Chicken katsu with mentai and ebiko on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Tsukune & Chicken Karaage Don.,from S$ 11.30,Chicken Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,11.30,starting_price,Japanese style chicken meatball and chicken karaage on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Sukiyaki Beef Don.,from S$ 13.70,Beef Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,13.70,starting_price,Beef slices on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Mentaiyaki Beef & Ebiko Don.,from S$ 14.40,Beef Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,14.40,starting_price,Beef slices with mentai and ebiko on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Black Pepper Beef Don.,from S$ 13.70,Beef Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,13.70,starting_price,Black pepper beef slices on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Roasted Beef Don.,from S$ 16.10,Beef Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,16.10,starting_price,Roasted beef with homemade sauce on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Mala Beef Don.,from S$ 16.10,Beef Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,16.10,starting_price,Beef slices cooked in homemade mala sauce on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Spicy Wafu Cheese Beef Don.,from S$ 16.10,Beef Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,16.10,starting_price,Beef slices in spicy wafu sauce with cheese on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Grilled Pork Belly Don.,from S$ 12.50,Pork Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,12.50,starting_price,Grilled pork belly on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Spicy Garlic Miso Pork Don.,from S$ 12.50,Pork Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,12.50,starting_price,Spicy garlic miso pork slices on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Ginger & Onion Pork Don.,from S$ 12.50,Pork Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,12.50,starting_price,Pork slices with ginger and onion on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Mala Pork Don.,from S$ 12.50,Pork Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,12.50,starting_price,Pork slices cooked in homemade mala sauce on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Spicy Wafu Cheese Pork Don.,from S$ 13.70,Pork Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,13.70,starting_price,Pork slices in spicy wafu sauce with cheese on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
